SVID,Type,Name,Unit,Pointer,Comment,Line,SourceRef
1052,ASCII_TYPE,Hot Plate2 Temperature,,&RunInfo.ShowTempComp[tcHotPlate2],Hot Plate2 Temperature,105,SECSGEM/uHGemHT9045_SV.cpp#L105
1053,ASCII_TYPE,Shuttle1 Temperature,,&RunInfo.ShowTempComp[tcShuttle1],Shuttle1 Temperature,106,SECSGEM/uHGemHT9045_SV.cpp#L106
1054,ASCII_TYPE,Shuttle2 Temperature,,&RunInfo.ShowTempComp[tcShuttle2],Shuttle2 Temperature,107,SECSGEM/uHGemHT9045_SV.cpp#L107
1055,ASCII_TYPE,Head1 Temperature,,&RunInfo.ShowTempComp[tcHead1],Head1 Temperature,108,SECSGEM/uHGemHT9045_SV.cpp#L108
1056,ASCII_TYPE,Head2 Temperature,,&RunInfo.ShowTempComp[tcHead2],Head2 Temperature,109,SECSGEM/uHGemHT9045_SV.cpp#L109
1057,ASCII_TYPE,Head5 Temperature,,&RunInfo.ShowTempComp[tcHead3],Head5 Temperature,110,SECSGEM/uHGemHT9045_SV.cpp#L110
1058,ASCII_TYPE,Head6 Temperature,,&RunInfo.ShowTempComp[tcHead4],Head6 Temperature,111,SECSGEM/uHGemHT9045_SV.cpp#L111
1059,ASCII_TYPE,DUT1 Temperature,,&RunInfo.ShowTempComp[tcDUT1],DUT1 Temperature,112,SECSGEM/uHGemHT9045_SV.cpp#L112
1060,ASCII_TYPE,DUT2 Temperature,,&RunInfo.ShowTempComp[tcDUT2],DUT2 Temperature,113,SECSGEM/uHGemHT9045_SV.cpp#L113
1061,ASCII_TYPE,Chamber Temperature,,&RunInfo.ShowTempComp[tcChamber],Chamber Temperature,114,SECSGEM/uHGemHT9045_SV.cpp#L114
1062,ASCII_TYPE,CCD Temperature,,&RunInfo.ShowTempComp[tcCCD],CCD Temperature,115,SECSGEM/uHGemHT9045_SV.cpp#L115
1063,ASCII_TYPE,Aa 1 Temperature,,&RunInfo.ShowTempComp[tcAa1],Aa 1 Temperature,116,SECSGEM/uHGemHT9045_SV.cpp#L116
1064,ASCII_TYPE,Ab 1 Temperature,,&RunInfo.ShowTempComp[tcAb1],Ab 1 Temperature,117,SECSGEM/uHGemHT9045_SV.cpp#L117
1065,ASCII_TYPE,Ac 1 Temperature,,&RunInfo.ShowTempComp[tcAc1],Ac 1 Temperature,118,SECSGEM/uHGemHT9045_SV.cpp#L118
1066,ASCII_TYPE,Ad 1 Temperature,,&RunInfo.ShowTempComp[tcAd1],Ad 1 Temperature,119,SECSGEM/uHGemHT9045_SV.cpp#L119
1067,ASCII_TYPE,Ba 1 Temperature,,&RunInfo.ShowTempComp[tcBa1],Ba 1 Temperature,120,SECSGEM/uHGemHT9045_SV.cpp#L120
1068,ASCII_TYPE,Bb 1 Temperature,,&RunInfo.ShowTempComp[tcBb1],Bb 1 Temperature,121,SECSGEM/uHGemHT9045_SV.cpp#L121
1069,ASCII_TYPE,Bc 1 Temperature,,&RunInfo.ShowTempComp[tcBc1],Bc 1 Temperature,122,SECSGEM/uHGemHT9045_SV.cpp#L122
1070,ASCII_TYPE,Bd 1 Temperature,,&RunInfo.ShowTempComp[tcBd1],Bd 1 Temperature,123,SECSGEM/uHGemHT9045_SV.cpp#L123
1071,ASCII_TYPE,Aa 2 Temperature,,&RunInfo.ShowTempComp[tcAa2],Aa 2 Temperature,124,SECSGEM/uHGemHT9045_SV.cpp#L124
1072,ASCII_TYPE,Ab 2 Temperature,,&RunInfo.ShowTempComp[tcAb2],Ab 2 Temperature,125,SECSGEM/uHGemHT9045_SV.cpp#L125
1073,ASCII_TYPE,Ac 2 Temperature,,&RunInfo.ShowTempComp[tcAc2],Ac 2 Temperature,126,SECSGEM/uHGemHT9045_SV.cpp#L126
1074,ASCII_TYPE,Ad 2 Temperature,,&RunInfo.ShowTempComp[tcAd2],Ad 2 Temperature,127,SECSGEM/uHGemHT9045_SV.cpp#L127
1075,ASCII_TYPE,Ba 2 Temperature,,&RunInfo.ShowTempComp[tcBa2],Ba 2 Temperature,128,SECSGEM/uHGemHT9045_SV.cpp#L128
1076,ASCII_TYPE,Bb 2 Temperature,,&RunInfo.ShowTempComp[tcBb2],Bb 2 Temperature,129,SECSGEM/uHGemHT9045_SV.cpp#L129
1077,ASCII_TYPE,Bc 2 Temperature,,&RunInfo.ShowTempComp[tcBc2],Bc 2 Temperature,130,SECSGEM/uHGemHT9045_SV.cpp#L130
1078,ASCII_TYPE,Bd 2 Temperature,,&RunInfo.ShowTempComp[tcBd2],Bd 2 Temperature,131,SECSGEM/uHGemHT9045_SV.cpp#L131
1079,ASCII_TYPE,Heat Gun 1 Temperature,,&RunInfo.ShowTempComp[tcHeatGun1],Heat Gun 1 Temperature,132,SECSGEM/uHGemHT9045_SV.cpp#L132
