SVID,Type,Name,Unit,Pointer,Comment,Line,SourceRef
1221,INT_4_TYPE,Output Total Count AUTO,,&RunInfo.iUnloadCount_ART,MRT Unloading Count,230,SECSGEM/uHGemHT9045_SV.cpp#L230
1222,INT_4_TYPE,Auto1 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto1],MRT Auto1 Count,231,SECSGEM/uHGemHT9045_SV.cpp#L231
1223,INT_4_TYPE,Auto2 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto2],MRT Auto2 Count,232,SECSGEM/uHGemHT9045_SV.cpp#L232
1224,INT_4_TYPE,Auto3 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto3],MRT Auto3 Count,233,SECSGEM/uHGemHT9045_SV.cpp#L233
1225,INT_4_TYPE,Fix1 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix1 ],MRT Fix1 Count,234,SECSGEM/uHGemHT9045_SV.cpp#L234
1226,INT_4_TYPE,Fix2 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix2 ],MRT Fix2 Count,235,SECSGEM/uHGemHT9045_SV.cpp#L235
1227,INT_4_TYPE,Fix3 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix3 ],MRT Fix3 Count,236,SECSGEM/uHGemHT9045_SV.cpp#L236
1228,INT_4_TYPE,Fix4 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix4 ],MRT Fix4 Count,237,SECSGEM/uHGemHT9045_SV.cpp#L237
1229,INT_4_TYPE,Fix5 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix5 ],MRT Fix5 Count,238,SECSGEM/uHGemHT9045_SV.cpp#L238
1230,INT_4_TYPE,Fix6 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix6 ],MRT Fix6 Count,239,SECSGEM/uHGemHT9045_SV.cpp#L239
1231,INT_4_TYPE,Bin 0 Count AUTO,,&LastSet.iBinData32_ART[0][0],MRT Bin 0 Count,240,SECSGEM/uHGemHT9045_SV.cpp#L240
1232,INT_4_TYPE,Bin 1 Count AUTO,,&LastSet.iBinData32_ART[0][1],MRT Bin 1 Count,241,SECSGEM/uHGemHT9045_SV.cpp#L241
1233,INT_4_TYPE,Bin 2 Count AUTO,,&LastSet.iBinData32_ART[0][2],MRT Bin 2 Count,242,SECSGEM/uHGemHT9045_SV.cpp#L242
1234,INT_4_TYPE,Bin 3 Count AUTO,,&LastSet.iBinData32_ART[0][3],MRT Bin 3 Count,243,SECSGEM/uHGemHT9045_SV.cpp#L243
1235,INT_4_TYPE,Bin 4 Count AUTO,,&LastSet.iBinData32_ART[0][4],MRT Bin 4 Count,244,SECSGEM/uHGemHT9045_SV.cpp#L244
1236,INT_4_TYPE,Bin 5 Count AUTO,,&LastSet.iBinData32_ART[0][5],MRT Bin 5 Count,245,SECSGEM/uHGemHT9045_SV.cpp#L245
1237,INT_4_TYPE,Bin 6 Count AUTO,,&LastSet.iBinData32_ART[0][6],MRT Bin 6 Count,246,SECSGEM/uHGemHT9045_SV.cpp#L246
1238,INT_4_TYPE,Bin 7 Count AUTO,,&LastSet.iBinData32_ART[0][7],MRT Bin 7 Count,247,SECSGEM/uHGemHT9045_SV.cpp#L247
1239,INT_4_TYPE,Bin 8 Count AUTO,,&LastSet.iBinData32_ART[0][8],MRT Bin 8 Count,248,SECSGEM/uHGemHT9045_SV.cpp#L248
1240,INT_4_TYPE,Bin 9 Count AUTO,,&LastSet.iBinData32_ART[0][9],MRT Bin 9 Count,249,SECSGEM/uHGemHT9045_SV.cpp#L249
1241,INT_4_TYPE,Bin 10 Count AUTO,,&LastSet.iBinData32_ART[0][10],MRT Bin 10 Count,250,SECSGEM/uHGemHT9045_SV.cpp#L250
1242,INT_4_TYPE,Bin 11 Count AUTO,,&LastSet.iBinData32_ART[0][11],MRT Bin 11 Count,251,SECSGEM/uHGemHT9045_SV.cpp#L251
1243,INT_4_TYPE,Bin 12 Count AUTO,,&LastSet.iBinData32_ART[0][12],MRT Bin 12 Count,252,SECSGEM/uHGemHT9045_SV.cpp#L252
1244,INT_4_TYPE,Bin 13 Count AUTO,,&LastSet.iBinData32_ART[0][13],MRT Bin 13 Count,253,SECSGEM/uHGemHT9045_SV.cpp#L253
1245,INT_4_TYPE,Bin 14 Count AUTO,,&LastSet.iBinData32_ART[0][14],MRT Bin 14 Count,254,SECSGEM/uHGemHT9045_SV.cpp#L254
1246,INT_4_TYPE,Bin 15 Count AUTO,,&LastSet.iBinData32_ART[0][15],MRT Bin 15 Count,255,SECSGEM/uHGemHT9045_SV.cpp#L255
1250,INT_4_TYPE,Enabled Site Count,,&iEnabledSiteCount,Enabled Site Count,259,SECSGEM/uHGemHT9045_SV.cpp#L259
1259,INT_4_TYPE,Auto 4 Count,,&LastSet.BinCT[0][e3Auto4],Auto 4 Count,262,SECSGEM/uHGemHT9045_SV.cpp#L262
1260,INT_4_TYPE,Auto 5 Count,,&LastSet.BinCT[0][e3Auto5],Auto 5 Count,263,SECSGEM/uHGemHT9045_SV.cpp#L263
1261,INT_4_TYPE,Auto 6 Count,,&LastSet.BinCT[0][e3Auto6],Auto 6 Count,264,SECSGEM/uHGemHT9045_SV.cpp#L264
1262,INT_4_TYPE,Fix 7 Count,,&LastSet.BinCT[0][e3Fix7 ],Fix 7 Count,265,SECSGEM/uHGemHT9045_SV.cpp#L265
1263,INT_4_TYPE,Fix 8 Count,,&LastSet.BinCT[0][e3Fix8 ],Fix 8 Count,266,SECSGEM/uHGemHT9045_SV.cpp#L266
1264,INT_4_TYPE,Fix 9 Count,,&LastSet.BinCT[0][e3Fix9 ],Fix 9 Count,267,SECSGEM/uHGemHT9045_SV.cpp#L267
1265,INT_4_TYPE,Fix 10 Count,,&LastSet.BinCT[0][e3Fix10],Fix 10 Count,268,SECSGEM/uHGemHT9045_SV.cpp#L268
1266,INT_4_TYPE,Fix 11 Count,,&LastSet.BinCT[0][e3Fix11],Fix 11 Count,269,SECSGEM/uHGemHT9045_SV.cpp#L269
1267,INT_4_TYPE,Fix 12 Count,,&LastSet.BinCT[0][e3Fix12],Fix 12 Count,270,SECSGEM/uHGemHT9045_SV.cpp#L270
1268,INT_4_TYPE,Auto 4 Count ART,,&LastSet.BinCT_ART[0][e3Auto4],ART Auto 4 Count,272,SECSGEM/uHGemHT9045_SV.cpp#L272
1269,INT_4_TYPE,Auto 5 Countunt ART,,&LastSet.BinCT_ART[0][e3Auto6],ART Auto 6 Count,273,SECSGEM/uHGemHT9045_SV.cpp#L273
1271,INT_4_TYPE,Fix 7 Count ART,,&LastSet.BinCT_ART[0][e3Fix7 ],ART Fix 7 Count,274,SECSGEM/uHGemHT9045_SV.cpp#L274
1272,INT_4_TYPE,Fix 8 Count ART,,&LastSet.BinCT_ART[0][e3Fix8 ],ART Fix 8 Count,275,SECSGEM/uHGemHT9045_SV.cpp#L275
1273,INT_4_TYPE,Fix 9 Count ART,,&LastSet.BinCT_ART[0][e3Fix9 ],ART Fix 9 Count,276,SECSGEM/uHGemHT9045_SV.cpp#L276
1274,INT_4_TYPE,Fix 10 Count ART,,&LastSet.BinCT_ART[0][e3Fix10],ART Fix 10 Count,277,SECSGEM/uHGemHT9045_SV.cpp#L277
1275,INT_4_TYPE,Fix 11 Count ART,,&LastSet.BinCT_ART[0][e3Fix11],ART Fix 11 Count,278,SECSGEM/uHGemHT9045_SV.cpp#L278
1276,INT_4_TYPE,Fix 12 Count ART,,&LastSet.BinCT_ART[0][e3Fix12],ART Fix 12 Count,279,SECSGEM/uHGemHT9045_SV.cpp#L279
1277,ASCII_TYPE,Auto 4 Yield,,&RunInfo.sT6AutoYield[eAuto4],Auto 4 Yield,281,SECSGEM/uHGemHT9045_SV.cpp#L281
1278,ASCII_TYPE,Auto 5 Yield,,&RunInfo.sT6AutoYield[eAuto5],Auto 5 Yield,282,SECSGEM/uHGemHT9045_SV.cpp#L282
1279,ASCII_TYPE,Auto 6 Yield,,&RunInfo.sT6AutoYield[eAuto6],Auto 6 Yield,283,SECSGEM/uHGemHT9045_SV.cpp#L283
1280,ASCII_TYPE,Fix 7 Yield,,&RunInfo.sT6AutoYield[eFix7 ],Fix 7 Yield,284,SECSGEM/uHGemHT9045_SV.cpp#L284
1281,ASCII_TYPE,Fix 8 Yield,,&RunInfo.sT6AutoYield[eFix8 ],Fix 8 Yield,285,SECSGEM/uHGemHT9045_SV.cpp#L285
1282,ASCII_TYPE,Fix 9 Yield,,&RunInfo.sT6AutoYield[eFix9 ],Fix 9 Yield,286,SECSGEM/uHGemHT9045_SV.cpp#L286
1283,ASCII_TYPE,Fix 10 Yield,,&RunInfo.sT6AutoYield[eFix10],Fix 10 Yield,287,SECSGEM/uHGemHT9045_SV.cpp#L287
1284,ASCII_TYPE,Fix 11 Yield,,&RunInfo.sT6AutoYield[eFix11],Fix 11 Yield,288,SECSGEM/uHGemHT9045_SV.cpp#L288
1285,ASCII_TYPE,Fix 12 Yield,,&RunInfo.sT6AutoYield[eFix12],Fix 12 Yield,289,SECSGEM/uHGemHT9045_SV.cpp#L289
1286,INT_4_TYPE,Auto 4 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto4],MRTAuto 4 Count,291,SECSGEM/uHGemHT9045_SV.cpp#L291
1287,INT_4_TYPE,Auto 5 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto5],MRTAuto 5 Count,292,SECSGEM/uHGemHT9045_SV.cpp#L292
1288,INT_4_TYPE,Auto 6 Count AUTO,,&LastSet.BinCT_ART[0][e3Auto6],MRTAuto 6 Count,293,SECSGEM/uHGemHT9045_SV.cpp#L293
1289,INT_4_TYPE,Fix 7 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix7 ],MRTFix 7 Count,294,SECSGEM/uHGemHT9045_SV.cpp#L294
1290,INT_4_TYPE,Fix 8 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix8 ],MRTFix 8 Count,295,SECSGEM/uHGemHT9045_SV.cpp#L295
1291,INT_4_TYPE,Fix 9 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix9 ],MRTFix 9 Count,296,SECSGEM/uHGemHT9045_SV.cpp#L296
1292,INT_4_TYPE,Fix 10 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix10],MRTFix 10 Count,297,SECSGEM/uHGemHT9045_SV.cpp#L297
1293,INT_4_TYPE,Fix 11 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix11],MRTFix 11 Count,298,SECSGEM/uHGemHT9045_SV.cpp#L298
1294,INT_4_TYPE,Fix 12 Count AUTO,,&LastSet.BinCT_ART[0][e3Fix12],MRTFix 12 Count,299,SECSGEM/uHGemHT9045_SV.cpp#L299
1351,ASCII_TYPE,ATC Arm1 Head 1,,fLotInfo->pl_ATCTempHead01,ATC Arm1 Head 1,303,SECSGEM/uHGemHT9045_SV.cpp#L303
1351,ASCII_TYPE,ATC Arm1 Head 1,,fLotInfo->pl_ATCTempHead01,ATC Arm1 Head 1,314,SECSGEM/uHGemHT9045_SV.cpp#L314
1352,ASCII_TYPE,ATC Arm1 Head 2,,fLotInfo->pl_ATCTempHead02,ATC Arm1 Head 2,304,SECSGEM/uHGemHT9045_SV.cpp#L304
1352,ASCII_TYPE,ATC Arm1 Head 2,,fLotInfo->pl_ATCTempHead02,ATC Arm1 Head 2,315,SECSGEM/uHGemHT9045_SV.cpp#L315
1353,ASCII_TYPE,ATC Arm1 Head 3,,fLotInfo->pl_ATCTempHead03,ATC Arm1 Head 3,316,SECSGEM/uHGemHT9045_SV.cpp#L316
1354,ASCII_TYPE,ATC Arm1 Head 4,,fLotInfo->pl_ATCTempHead04,ATC Arm1 Head 4,317,SECSGEM/uHGemHT9045_SV.cpp#L317
1355,ASCII_TYPE,ATC Arm2 Head 1,,fLotInfo->pl_ATCTempHead03,ATC Arm2 Head 1,305,SECSGEM/uHGemHT9045_SV.cpp#L305
1355,ASCII_TYPE,ATC Arm2 Head 1,,fLotInfo->pl_ATCTempHead05,ATC Arm2 Head 1,318,SECSGEM/uHGemHT9045_SV.cpp#L318
1356,ASCII_TYPE,ATC Arm2 Head 2,,fLotInfo->pl_ATCTempHead04,ATC Arm2 Head 2,306,SECSGEM/uHGemHT9045_SV.cpp#L306
1356,ASCII_TYPE,ATC Arm2 Head 2,,fLotInfo->pl_ATCTempHead06,ATC Arm2 Head 2,319,SECSGEM/uHGemHT9045_SV.cpp#L319
1357,ASCII_TYPE,ATC Arm2 Head 3,,fLotInfo->pl_ATCTempHead07,ATC Arm2 Head 3,320,SECSGEM/uHGemHT9045_SV.cpp#L320
1358,ASCII_TYPE,ATC Arm2 Head 4,,fLotInfo->pl_ATCTempHead08,ATC Arm2 Head 4,321,SECSGEM/uHGemHT9045_SV.cpp#L321
1359,ASCII_TYPE,ATC Arm1 Ref Head 1,,fLotInfo->pl_ATCRefHead01,ATC Arm1 Ref Head 1,307,SECSGEM/uHGemHT9045_SV.cpp#L307
1359,ASCII_TYPE,ATC Arm1 Ref Head 1,,fLotInfo->pl_ATCRefHead01,ATC Arm1 Ref Head 1,322,SECSGEM/uHGemHT9045_SV.cpp#L322
1360,ASCII_TYPE,ATC Arm1 Ref Head 2,,fLotInfo->pl_ATCRefHead02,ATC Arm1 Ref Head 2,308,SECSGEM/uHGemHT9045_SV.cpp#L308
1360,ASCII_TYPE,ATC Arm1 Ref Head 2,,fLotInfo->pl_ATCRefHead02,ATC Arm1 Ref Head 2,323,SECSGEM/uHGemHT9045_SV.cpp#L323
1361,ASCII_TYPE,ATC Arm1 Ref Head 3,,fLotInfo->pl_ATCRefHead03,ATC Arm1 Ref Head 3,324,SECSGEM/uHGemHT9045_SV.cpp#L324
1362,ASCII_TYPE,ATC Arm1 Ref Head 4,,fLotInfo->pl_ATCRefHead04,ATC Arm1 Ref Head 4,325,SECSGEM/uHGemHT9045_SV.cpp#L325
1363,ASCII_TYPE,ATC Arm2 Ref Head 1,,fLotInfo->pl_ATCRefHead03,ATC Arm2 Ref Head 1,309,SECSGEM/uHGemHT9045_SV.cpp#L309
1363,ASCII_TYPE,ATC Arm2 Ref Head 1,,fLotInfo->pl_ATCRefHead05,ATC Arm2 Ref Head 1,326,SECSGEM/uHGemHT9045_SV.cpp#L326
1364,ASCII_TYPE,ATC Arm2 Ref Head 2,,fLotInfo->pl_ATCRefHead04,ATC Arm2 Ref Head 2,310,SECSGEM/uHGemHT9045_SV.cpp#L310
1364,ASCII_TYPE,ATC Arm2 Ref Head 2,,fLotInfo->pl_ATCRefHead06,ATC Arm2 Ref Head 2,327,SECSGEM/uHGemHT9045_SV.cpp#L327
1365,ASCII_TYPE,ATC Arm2 Ref Head 3,,fLotInfo->pl_ATCRefHead07,ATC Arm2 Ref Head 3,328,SECSGEM/uHGemHT9045_SV.cpp#L328
1366,ASCII_TYPE,ATC Arm2 Ref Head 4,,fLotInfo->pl_ATCRefHead08,ATC Arm2 Ref Head 4,329,SECSGEM/uHGemHT9045_SV.cpp#L329
1420,ASCII_TYPE,Site 1 to 32 Test Result,,fMain->tTestResult,Site 1 to 32 Test Result; Bin -1 is no test; CSV Format,331,SECSGEM/uHGemHT9045_SV.cpp#L331
1432,INT_4_TYPE,Arm 1 Contact Count,,&LastSet.iContactCT[0],Arm 1 Contact Count,333,SECSGEM/uHGemHT9045_SV.cpp#L333
1433,INT_4_TYPE,Arm 2 Contact Count,,&LastSet.iContactCT[1],Arm 2 Contact Count,334,SECSGEM/uHGemHT9045_SV.cpp#L334
1451,ASCII_TYPE,Auto1 Test Bin,,&sSVBinAssign[eAuto1],Auto 1 Test Bin,336,SECSGEM/uHGemHT9045_SV.cpp#L336
1452,ASCII_TYPE,Auto2 Test Bin,,&sSVBinAssign[eAuto2],Auto 2 Test Bin,337,SECSGEM/uHGemHT9045_SV.cpp#L337
1453,ASCII_TYPE,Auto3 Test Bin,,&sSVBinAssign[eAuto3],Auto 3 Test Bin,338,SECSGEM/uHGemHT9045_SV.cpp#L338
1454,ASCII_TYPE,Fix1 Test Bin,,&sSVBinAssign[eFix1],Fix 1 Test Bin,339,SECSGEM/uHGemHT9045_SV.cpp#L339
1455,ASCII_TYPE,Fix2 Test Bin,,&sSVBinAssign[eFix2],Fix 2 Test Bin,340,SECSGEM/uHGemHT9045_SV.cpp#L340
1456,ASCII_TYPE,Fix3 Test Bin,,&sSVBinAssign[eFix3],Fix 3 Test Bin,341,SECSGEM/uHGemHT9045_SV.cpp#L341
1457,ASCII_TYPE,Fix4 Test Bin,,&sSVBinAssign[eFix4],Fix 4 Test Bin,342,SECSGEM/uHGemHT9045_SV.cpp#L342
1458,ASCII_TYPE,Fix5 Test Bin,,&sSVBinAssign[eFix5],Fix 5 Test Bin,343,SECSGEM/uHGemHT9045_SV.cpp#L343
1459,ASCII_TYPE,Fix6 Test Bin,,&sSVBinAssign[eFix6],Fix 6 Test Bin,344,SECSGEM/uHGemHT9045_SV.cpp#L344
1460,ASCII_TYPE,Auto4 Test Bin,,&sSVBinAssign[eAuto4],Auto 4 Test Bin,346,SECSGEM/uHGemHT9045_SV.cpp#L346
1461,ASCII_TYPE,Auto5 Test Bin,,&sSVBinAssign[eAuto5],Auto 5 Test Bin,347,SECSGEM/uHGemHT9045_SV.cpp#L347
1462,ASCII_TYPE,Auto6 Test Bin,,&sSVBinAssign[eAuto6],Auto 6 Test Bin,348,SECSGEM/uHGemHT9045_SV.cpp#L348
1463,ASCII_TYPE,Fix7 Test Bin,,&sSVBinAssign[eFix7],Fix 7 Test Bin,349,SECSGEM/uHGemHT9045_SV.cpp#L349
1464,ASCII_TYPE,Fix8 Test Bin,,&sSVBinAssign[eFix8],Fix 8 Test Bin,350,SECSGEM/uHGemHT9045_SV.cpp#L350
1465,ASCII_TYPE,Fix9 Test Bin,,&sSVBinAssign[eFix9],Fix 9 Test Bin,351,SECSGEM/uHGemHT9045_SV.cpp#L351
1466,ASCII_TYPE,Fix10 Test Bin,,&sSVBinAssign[eFix10],Fix 10 Test Bin,352,SECSGEM/uHGemHT9045_SV.cpp#L352
1467,ASCII_TYPE,Fix11 Test Bin,,&sSVBinAssign[eFix11],Fix 11 Test Bin,353,SECSGEM/uHGemHT9045_SV.cpp#L353
1468,ASCII_TYPE,Fix12 Test Bin,,&sSVBinAssign[eFix12],Fix 12 Test Bin,354,SECSGEM/uHGemHT9045_SV.cpp#L354
1470,ASCII_TYPE,CCD2 Temperature,,&RunInfo.ShowTempComp[tcCCD_2],CCD2 Temperature,356,SECSGEM/uHGemHT9045_SV.cpp#L356
1471,ASCII_TYPE,2DID Temperature,,&RunInfo.ShowTempComp[tc2D],2DID Temperature,357,SECSGEM/uHGemHT9045_SV.cpp#L357
1472,ASCII_TYPE,LB Temperature,,&RunInfo.ShowTempComp[tcLB],LB Temperature,358,SECSGEM/uHGemHT9045_SV.cpp#L358
1473,ASCII_TYPE,ESD Air Temperature,,&RunInfo.ShowTempComp[tcIndexESD],ESD Air Temperature,359,SECSGEM/uHGemHT9045_SV.cpp#L359
1474,ASCII_TYPE,LB Up Temperature,,&RunInfo.ShowTempComp[tcLBUp],LB Up Temperature,361,SECSGEM/uHGemHT9045_SV.cpp#L361
1475,ASCII_TYPE,LB Down Temperature,,&RunInfo.ShowTempComp[tcLBDown],LB Down Temperature,362,SECSGEM/uHGemHT9045_SV.cpp#L362
1476,FT_8_TYPE,LB Up Temp High Limit,,&Temperature.dLBTempHighSettingValue,LB Top Surface Upper Limit Temperature,363,SECSGEM/uHGemHT9045_SV.cpp#L363
1477,FT_8_TYPE,LB Up Temp Low Limit,,&Temperature.dLBTempLowSettingValue,LB Top Surface Lower Limit Temperature,364,SECSGEM/uHGemHT9045_SV.cpp#L364
1478,FT_8_TYPE,LB Down Temp High Limit,,&Temperature.dLBTempHighSettingValue,LB Bottom Surface Upper Limit Temperature,365,SECSGEM/uHGemHT9045_SV.cpp#L365
1479,FT_8_TYPE,LB Down Temp Low Limit,,&Temperature.dLBTempLowSettingValue,LB Bottom Surface Lower Limit Temperature,366,SECSGEM/uHGemHT9045_SV.cpp#L366
1702,INT_4_TYPE,Auto1 car Count,,&iAuto_CarCarDeviceCnt[eAuto1],Auto1 car Count,368,SECSGEM/uHGemHT9045_SV.cpp#L368
1703,INT_4_TYPE,Auto2 car Count,,&iAuto_CarCarDeviceCnt[eAuto2],Auto2 car Count,369,SECSGEM/uHGemHT9045_SV.cpp#L369
1704,INT_4_TYPE,Auto3 car Count,,&iAuto_CarCarDeviceCnt[eAuto3],Auto3 car Count,370,SECSGEM/uHGemHT9045_SV.cpp#L370
1705,INT_4_TYPE,Auto4 car Count,,&iAuto_CarCarDeviceCnt[eAuto4],Auto4 car Count,371,SECSGEM/uHGemHT9045_SV.cpp#L371
1706,INT_4_TYPE,Auto5 car Count,,&iAuto_CarCarDeviceCnt[eAuto5],Auto5 car Count,372,SECSGEM/uHGemHT9045_SV.cpp#L372
1707,INT_4_TYPE,Auto6 car Count,,&iAuto_CarCarDeviceCnt[eAuto6],Auto6 car Count,373,SECSGEM/uHGemHT9045_SV.cpp#L373
2003,FT_8_TYPE,Force Per Device KG,,fContact->edForcePerDeviceKG,Force Per Device KG,375,SECSGEM/uHGemHT9045_SV.cpp#L375
2004,FT_8_TYPE,Force Per Pin N,,fContact->edForcePerPinN,Force Per Pin N,376,SECSGEM/uHGemHT9045_SV.cpp#L376
2005,FT_8_TYPE,Arm Total Force N,,fContact->edAirForceN,Arm Total Force N,377,SECSGEM/uHGemHT9045_SV.cpp#L377
2007,FT_8_TYPE,Force Per Device N,,fContact->edForcePerDeviceN,Force Per Device N,378,SECSGEM/uHGemHT9045_SV.cpp#L378
2015,INT_4_TYPE,Contact Alarm Count Setting Grop 1,,&TestIF_File.iContactAlarmCount[0],Contact Alarm Count Setting Grop 1,380,SECSGEM/uHGemHT9045_SV.cpp#L380
2016,INT_4_TYPE,Contact Alarm Count Setting Grop 2,,&TestIF_File.iContactAlarmCount[1],Contact Alarm Count Setting Grop 2,381,SECSGEM/uHGemHT9045_SV.cpp#L381
2017,INT_4_TYPE,Contact Alarm Count Setting Grop 3,,&TestIF_File.iContactAlarmCount[2],Contact Alarm Count Setting Grop 3,382,SECSGEM/uHGemHT9045_SV.cpp#L382
2018,FT_8_TYPE,Contact Air Force,,fContact->edAirKPA,Contact Air Force,384,SECSGEM/uHGemHT9045_SV.cpp#L384
2019,FT_8_TYPE,Contact Air Force Feedback,,fContact->lblReadEP,Contact Air Force Feedback,385,SECSGEM/uHGemHT9045_SV.cpp#L385
2020,FT_8_TYPE,Contact Set KG,,fContact->edSetKg,Contact Set KG,386,SECSGEM/uHGemHT9045_SV.cpp#L386
2024,FT_8_TYPE,Die Force Feedback,,fContact->lblDieForceEP,Die Force Feedback,387,SECSGEM/uHGemHT9045_SV.cpp#L387
2101,FT_8_TYPE,Arm1 Contact Height,,&DeviceForm_File.IndexContact[0],Arm1 Contact Height,389,SECSGEM/uHGemHT9045_SV.cpp#L389
2102,FT_8_TYPE,Arm2 Contact Height,,&DeviceForm_File.IndexContact[1],Arm2 Contact Height,390,SECSGEM/uHGemHT9045_SV.cpp#L390
2103,FT_8_TYPE,Shuttle1 Pick Height,,&DeviceForm_File.IndexArmPick[0],Shuttle1 Pick Height,391,SECSGEM/uHGemHT9045_SV.cpp#L391
2104,FT_8_TYPE,Shuttle2 Pick Height,,&DeviceForm_File.IndexArmPick[1],Shuttle2 Release Height,392,SECSGEM/uHGemHT9045_SV.cpp#L392
2105,FT_8_TYPE,Shuttle1 Release Height,,&DeviceForm_File.IndexPlace[0],Shuttle1 Release Height,393,SECSGEM/uHGemHT9045_SV.cpp#L393
2106,FT_8_TYPE,Shuttle2 Release Height,,&DeviceForm_File.IndexPlace[1],Shuttle2 Release Height,394,SECSGEM/uHGemHT9045_SV.cpp#L394
2631,INT_4_TYPE,Height Calibration Mode,,fContact->rgHandlerMode,0:Normal; 1:Auto Height; 2:Contact Test; 3:Manual Test; ,395,SECSGEM/uHGemHT9045_SV.cpp#L395
2665,ASCII_TYPE,Auto 4 Tray From Alias,,fTrayAssignment->edAuto4Type,Auto 4 Tray From Alias,397,SECSGEM/uHGemHT9045_SV.cpp#L397
2666,ASCII_TYPE,Auto 5 Tray From Alias,,fTrayAssignment->edAuto5Type,Auto 5 Tray From Alias,398,SECSGEM/uHGemHT9045_SV.cpp#L398
2667,ASCII_TYPE,Auto 6 Tray From Alias,,fTrayAssignment->edAuto6Type,Auto 6 Tray From Alias,399,SECSGEM/uHGemHT9045_SV.cpp#L399
2754,ASCII_TYPE,Auto 1 Tray From Alias,,fTrayAssignment->edAuto1Type,Auto 1 Tray From Alias,401,SECSGEM/uHGemHT9045_SV.cpp#L401
2755,ASCII_TYPE,Auto 2 Tray From Alias,,fTrayAssignment->edAuto2Type,Auto 2 Tray From Alias,402,SECSGEM/uHGemHT9045_SV.cpp#L402
2756,ASCII_TYPE,Auto 3 Tray From Alias,,fTrayAssignment->edAuto3Type,Auto 3 Tray From Alias,403,SECSGEM/uHGemHT9045_SV.cpp#L403
6001,INT_4_TYPE,Arm1 Total Contact Count,,&ArmData[0]->iContactCT,Arm1 Total Contact Count,404,SECSGEM/uHGemHT9045_SV.cpp#L404
6002,INT_4_TYPE,Arm2 Total Contact Count,,&ArmData[1]->iContactCT,Arm2 Total Contact Count,405,SECSGEM/uHGemHT9045_SV.cpp#L405
9001,INT_4_TYPE,Auto Clean Cleaning Count,,fCleaning->edCleaningCount,Auto Clean Cleaning Count,406,SECSGEM/uHGemHT9045_SV.cpp#L406
9003,ASCII_TYPE,Auto Clean Arm Total Force(KG),,fCleaning->edAutoCleanAirForce_Kg,Auto Clean Arm Total Force(KG),407,SECSGEM/uHGemHT9045_SV.cpp#L407
9004,ASCII_TYPE,Auto Clean Arm Total Force(N),,fCleaning->edAutoCleanAirForce_N,Auto Clean Arm Total Force(N),408,SECSGEM/uHGemHT9045_SV.cpp#L408
15500,INT_4_TYPE,Pre Alarm Message,,&RunInfo.iPreAlarmPosition,Pre Alarm Message,410,SECSGEM/uHGemHT9045_SV.cpp#L410
16200,ASCII_TYPE,Site Aa Bin 0-255 Total,,ArmData[2]->ArmSKET[0][0]->sBinCT,Site Aa Bin 0-255 TotalCSV Format,412,SECSGEM/uHGemHT9045_SV.cpp#L412
16201,ASCII_TYPE,Site Ab Bin 0-255 Total,,ArmData[2]->ArmSKET[0][1]->sBinCT,Site Ab Bin 0-255 TotalCSV Format,413,SECSGEM/uHGemHT9045_SV.cpp#L413
16202,ASCII_TYPE,Site Ac Bin 0-255 Total,,ArmData[2]->ArmSKET[0][2]->sBinCT,Site Ac Bin 0-255 TotalCSV Format,414,SECSGEM/uHGemHT9045_SV.cpp#L414
16203,ASCII_TYPE,Site Ad Bin 0-255 Total,,ArmData[2]->ArmSKET[0][3]->sBinCT,Site Ad Bin 0-255 TotalCSV Format,415,SECSGEM/uHGemHT9045_SV.cpp#L415
16204,ASCII_TYPE,Site Ae Bin 0-255 Total,,ArmData[2]->ArmSKET[0][4]->sBinCT,Site Ae Bin 0-255 TotalCSV Format,416,SECSGEM/uHGemHT9045_SV.cpp#L416
16205,ASCII_TYPE,Site Af Bin 0-255 Total,,ArmData[2]->ArmSKET[0][5]->sBinCT,Site Af Bin 0-255 TotalCSV Format,417,SECSGEM/uHGemHT9045_SV.cpp#L417
16206,ASCII_TYPE,Site Ag Bin 0-255 Total,,ArmData[2]->ArmSKET[0][6]->sBinCT,Site Ag Bin 0-255 TotalCSV Format,418,SECSGEM/uHGemHT9045_SV.cpp#L418
16207,ASCII_TYPE,Site Ah Bin 0-255 Total,,ArmData[2]->ArmSKET[0][7]->sBinCT,Site Ah Bin 0-255 TotalCSV Format,419,SECSGEM/uHGemHT9045_SV.cpp#L419
