ECID,Type,Name,Unit,Pointer,Max,Min,Default,Comment,Line,SourceRef
11081,BOOLEAN_TYPE,ArmYield ART_FT,,fBinSel->sArmYield[eBinFT_ART],,,,ArmYield ART_FT; CSV Format for Bin 0 to 255,1038,SECSGEM/uHGemHT9045_EC.cpp#L1038
11082,BOOLEAN_TYPE,SiteYield ART_FT,,fBinSel->sSiteYield[eBinFT_ART],,,,SiteYield ART_FT; CSV Format for Bin 0 to 255,1039,SECSGEM/uHGemHT9045_EC.cpp#L1039
11083,ASCII_TYPE,By Bin per site cleaning ART_FT,,fBinSel->sBySiteClean[eBinFT_ART],10000,0,0,By Bin per site cleaning ART_FT; CSV Format for Bin 0 to 255,1040,SECSGEM/uHGemHT9045_EC.cpp#L1040
11084,ASCII_TYPE,By Bin count cleaning ART_FT,,fBinSel->sByBinClean[eBinFT_ART],10000,0,0,By Bin count cleaning ART_FT; CSV Format for Bin 0 to 255,1041,SECSGEM/uHGemHT9045_EC.cpp#L1041
11141,ASCII_TYPE,Alarm ART_RT Bin 0-255 Yield Over Limit Enable,,fBinSel->sBinEnableFail[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Over Limit Enable; CSV Format for Bin 0 to 255,1043,SECSGEM/uHGemHT9045_EC.cpp#L1043
11142,ASCII_TYPE,Alarm ART_RT Bin 0-255 Yield Over Limit,Percentage,fBinSel->sBinFailPercent[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Over Limit (%); CSV Format for Bin 0 to 255,1044,SECSGEM/uHGemHT9045_EC.cpp#L1044
11143,ASCII_TYPE,Alarm ART_RT Bin 0-255 Yield Over Limit Ignore,Percentage,fBinSel->sBinFailIgnore[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Over Limit Ignore; CSV Format for Bin 0 to 255,1045,SECSGEM/uHGemHT9045_EC.cpp#L1045
11144,ASCII_TYPE,Alarm ART_RT Bin 0-255 Count Over Limit Enable,,fBinSel->sBinCountEnable[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Count Limit Enable; CSV Format for Bin 0 to 255,1046,SECSGEM/uHGemHT9045_EC.cpp#L1046
11145,ASCII_TYPE,Alarm ART_RT Bin 0-255 Count Over Limit,,fBinSel->sBinCountNumber[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Count Limit; CSV Format for Bin 0 to 255,1047,SECSGEM/uHGemHT9045_EC.cpp#L1047
11146,ASCII_TYPE,Alarm ART_RT Bin 0-255 Count Over Limit Ignore,,fBinSel->sBinCountIgnore[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Count Limit Ignore; CSV Format for Bin 0 to 255,1048,SECSGEM/uHGemHT9045_EC.cpp#L1048
11147,ASCII_TYPE,Alarm ART_RT Bin 0-255 Special Bin By Arm,,fBinSel->sSpecialBinByArm[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Special Bin By Arm; CSV Format for Bin 0 to 255,1049,SECSGEM/uHGemHT9045_EC.cpp#L1049
11148,ASCII_TYPE,Alarm ART_RT Bin 0-255 Special Bin Count By Arm,,fBinSel->sSpecialBinCountByArm[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Special Bin Count By Arm; CSV Format for Bin 0 to 255,1050,SECSGEM/uHGemHT9045_EC.cpp#L1050
11149,ASCII_TYPE,Alarm ART_RT Bin 0-255 Special Bin By Socket,,fBinSel->sSpecialBinBySocket[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Special Bin By Socket; CSV Format for Bin 0 to 255,1051,SECSGEM/uHGemHT9045_EC.cpp#L1051
11150,ASCII_TYPE,Alarm ART_RT Bin 0-255 Special Bin Count By Socket,,fBinSel->sSpecialBinCountBySocket[eBinRT_ART],,,,Alarm ART_RT Bin 0-255 Yield Special Bin Count By Socket; CSV Format for Bin 0 to 255,1052,SECSGEM/uHGemHT9045_EC.cpp#L1052
11180,BOOLEAN_TYPE,LowYield ART_RT,,fBinSel->sLowYield[eBinRT_ART],,,,LowYield ART_RT; CSV Format for Bin 0 to 255,1053,SECSGEM/uHGemHT9045_EC.cpp#L1053
11181,BOOLEAN_TYPE,ArmYield ART_RT,,fBinSel->sArmYield[eBinRT_ART],,,,ArmYield ART_RT; CSV Format for Bin 0 to 255,1054,SECSGEM/uHGemHT9045_EC.cpp#L1054
11182,BOOLEAN_TYPE,SiteYield ART_RT,,fBinSel->sSiteYield[eBinRT_ART],,,,SiteYield ART_RT; CSV Format for Bin 0 to 255,1055,SECSGEM/uHGemHT9045_EC.cpp#L1055
11183,ASCII_TYPE,By Bin per site cleaning ART_RT,,fBinSel->sBySiteClean[eBinRT_ART],10000,0,0,By Bin per site cleaning ART_RT; CSV Format for Bin 0 to 255,1056,SECSGEM/uHGemHT9045_EC.cpp#L1056
11184,ASCII_TYPE,By Bin count cleaning ART_RT,,fBinSel->sByBinClean[eBinRT_ART],10000,0,0,By Bin count cleaning ART_RT; CSV Format for Bin 0 to 255,1057,SECSGEM/uHGemHT9045_EC.cpp#L1057
11241,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Yield Over Limit Enable,,fBinSel->sBinEnableFail[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Over Limit Enable; CSV Format for Bin 0 to 255,1061,SECSGEM/uHGemHT9045_EC.cpp#L1061
11242,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Yield Over Limit,Percentage,fBinSel->sBinFailPercent[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Over Limit (%); CSV Format for Bin 0 to 255,1062,SECSGEM/uHGemHT9045_EC.cpp#L1062
11243,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Yield Over Limit Ignore,Percentage,fBinSel->sBinFailIgnore[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Over Limit Ignore; CSV Format for Bin 0 to 255,1063,SECSGEM/uHGemHT9045_EC.cpp#L1063
11244,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Count Over Limit Enable,,fBinSel->sBinCountEnable[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Count Limit Enable; CSV Format for Bin 0 to 255,1064,SECSGEM/uHGemHT9045_EC.cpp#L1064
11245,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Count Over Limit,,fBinSel->sBinCountNumber[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Count Limit; CSV Format for Bin 0 to 255,1065,SECSGEM/uHGemHT9045_EC.cpp#L1065
11246,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Count Over Limit Ignore,,fBinSel->sBinCountIgnore[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Count Limit Ignore; CSV Format for Bin 0 to 255,1066,SECSGEM/uHGemHT9045_EC.cpp#L1066
11247,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Special Bin By Arm,,fBinSel->sSpecialBinByArm[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Special Bin By Arm; CSV Format for Bin 0 to 255,1067,SECSGEM/uHGemHT9045_EC.cpp#L1067
11248,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Special Bin Count By Arm,,fBinSel->sSpecialBinCountByArm[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Special Bin Count By Arm; CSV Format for Bin 0 to 255,1068,SECSGEM/uHGemHT9045_EC.cpp#L1068
11249,ASCII_TYPE,Alarm MRT_FT Bin 0-255 Special Bin By Socket,,fBinSel->sSpecialBinBySocket[eBinFT_MRT],,,,Alarm MRT_FT Bin 0-255 Yield Special Bin By Socket; CSV Format for Bin 0 to 255,1069,SECSGEM/uHGemHT9045_EC.cpp#L1069
