ECID,Type,Name,Unit,Pointer,Max,Min,Default,Comment,Line,SourceRef
1006,ASCII_TYPE,Lot ID,,fLotInfo->edtSysLotID,,,,Lot ID,59,SECSGEM/uHGemHT9045_EC.cpp#L59
1007,ASCII_TYPE,Operator ID,,fLotInfo->edtSysOperatorID,,,,Operator ID,60,SECSGEM/uHGemHT9045_EC.cpp#L60
1191,BOOLEAN_TYPE,USE_RFID_READER,,&USE_RFID_READER,1,0,0,USE_RFID_READER,61,SECSGEM/uHGemHT9045_EC.cpp#L61
1430,INT_4_TYPE,Arm 1 Contact times for alarm,,&LastSet.ContactSet[0],,,,Arm 1 Contact times for alarm,62,SECSGEM/uHGemHT9045_EC.cpp#L62
1431,INT_4_TYPE,Arm 2 Contact times for alarm,,&LastSet.ContactSet[1],,,,Arm 2 Contact times for alarm,63,SECSGEM/uHGemHT9045_EC.cpp#L63
1501,ASCII_TYPE,Setup File,,fMain->cbSetupFileName,,,,Recipe Name,64,SECSGEM/uHGemHT9045_EC.cpp#L64
1502,INT_4_TYPE,User Level,,&AccessLevel,3,0,0,0:Operator; 1:Engineer; 2:Supervisor; 3:HonPrec;,65,SECSGEM/uHGemHT9045_EC.cpp#L65
1513,INT_4_TYPE,Tester On/Off,,&LastSet.iTester,2,0,1,0:Off-Line; 1:On-Line; 2:2D_SORT,66,SECSGEM/uHGemHT9045_EC.cpp#L66
1514,INT_4_TYPE,Temperature Mode,,&LastSet.iTemperature,1,0,0,0:Ambient; 1:Hot,67,SECSGEM/uHGemHT9045_EC.cpp#L67
1517,INT_4_TYPE,Start Mode For HT9045,,&LastSet.iRunStartMode,8,0,0,0:Continuous Start;  1:Initial Start; 2:Re-Test Continuous; 3:Re-Test Initial Start; 4:Site Mapping Check; 5:QA Mode; 6:Continuous EQC; 7:Initial EQC; 8:Auto Retest; ,68,SECSGEM/uHGemHT9045_EC.cpp#L68
1518,INT_4_TYPE,Real/Dummy For HT9045,,&LastSet.iRealDummy,2,0,1,0:Dummy; 1:Tray Only; 2:Real; ,69,SECSGEM/uHGemHT9045_EC.cpp#L69
1519,FT_8_TYPE,Temperature Default for HT9045,,&Temperature.fWorkTemperBase,150,20,30,Temperature Default,70,SECSGEM/uHGemHT9045_EC.cpp#L70
1520,FT_8_TYPE,Temperature Soak Time for HT9045,Second,&Temperature.fSoakTime,10000,5,90,Temperature Soak Time,71,SECSGEM/uHGemHT9045_EC.cpp#L71
1530,ASCII_TYPE,Site Aa to Dh Status,,fMain->tSiteOnOff[0],,,,Site Aa to Dh Status; 0:Close; 1:Open ,72,SECSGEM/uHGemHT9045_EC.cpp#L72
1531,ASCII_TYPE,Site Aa to Dh Status for Arm 2,,fMain->tSiteOnOff[1],,,,Site Aa to Dh Status for Arm 2; 0:Close; 1:Open ,73,SECSGEM/uHGemHT9045_EC.cpp#L73
1581,ASCII_TYPE,Lot Information Customer,,&fSCKART->sInfo_Customer,,,,Lot Information Customer,75,SECSGEM/uHGemHT9045_EC.cpp#L75
1582,ASCII_TYPE,Lot Information Inner Lot ID,,&fSCKART->sLotID,,,,Lot Information Inner Lot ID,76,SECSGEM/uHGemHT9045_EC.cpp#L76
1583,ASCII_TYPE,Lot Information Customer Lot ID,,&fSCKART->sInfo_CustLotID,,,,Lot Information Customer Lot ID,77,SECSGEM/uHGemHT9045_EC.cpp#L77
1584,ASCII_TYPE,Lot Information Customer Device Group,,&fSCKART->sInfo_CustDevGup,,,,Lot Information Customer Device Group,78,SECSGEM/uHGemHT9045_EC.cpp#L78
1585,ASCII_TYPE,Lot Information Device Name,,&fSCKART->sInfo_DeviceName,,,,Lot Information Device Name,79,SECSGEM/uHGemHT9045_EC.cpp#L79
1586,ASCII_TYPE,Lot Information Stage,,&fSCKART->sInfo_Stage,,,,Lot Information Stage,80,SECSGEM/uHGemHT9045_EC.cpp#L80
1587,ASCII_TYPE,Lot Information Step,,&fSCKART->sInfo_Step,,,,Lot Information Step,81,SECSGEM/uHGemHT9045_EC.cpp#L81
1588,ASCII_TYPE,Lot Information Report Count,,&fSCKART->sInfo_ReportCnt,,,,Lot Information Report Count,82,SECSGEM/uHGemHT9045_EC.cpp#L82
1589,ASCII_TYPE,Lot Information Program Name,,&fSCKART->sInfo_ProgramName,,,,Lot Information Program Name,83,SECSGEM/uHGemHT9045_EC.cpp#L83
1590,ASCII_TYPE,Lot Information Test Bin No,,&fSCKART->sInfo_TestBinNo,,,,Lot Information Test Bin No,84,SECSGEM/uHGemHT9045_EC.cpp#L84
1591,ASCII_TYPE,Lot Information Tester ID,,&fSCKART->sInfo_TesterID,,,,Lot Information Tester ID,85,SECSGEM/uHGemHT9045_EC.cpp#L85
1592,ASCII_TYPE,Lot Information Handler ID,,&fSCKART->sInfo_HandlerID,,,,Lot Information Handler ID,86,SECSGEM/uHGemHT9045_EC.cpp#L86
1593,ASCII_TYPE,Lot Information Temperauture,,&fSCKART->sInfo_Temperauture,,,,Lot Information Temperauture,87,SECSGEM/uHGemHT9045_EC.cpp#L87
1594,ASCII_TYPE,Lot Information Curr Quantity,,&fSCKART->sInfo_CurrQty,,,,Lot Information Curr Quantity,88,SECSGEM/uHGemHT9045_EC.cpp#L88
1595,ASCII_TYPE,Lot Information Operator ID,,&fSCKART->sInfo_OperatorID,,,,Lot Information Operator ID,89,SECSGEM/uHGemHT9045_EC.cpp#L89
1600,BOOLEAN_TYPE,Use Individual Temperature,,&Temperature.bUseIndividualTemp,1,0,0,Use Individual Temperature,91,SECSGEM/uHGemHT9045_EC.cpp#L91
1601,FT_8_TYPE,Plate1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHotPlate1],60,-60,0,Plate1 Temperature Single Limit,92,SECSGEM/uHGemHT9045_EC.cpp#L92
1602,FT_8_TYPE,Plate2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHotPlate2],60,-60,0,Plate2 Temperature Single Limit,93,SECSGEM/uHGemHT9045_EC.cpp#L93
1603,FT_8_TYPE,Shuttle1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcShuttle1],60,-60,0,Shuttle1 Temperature Single Limit,94,SECSGEM/uHGemHT9045_EC.cpp#L94
1604,FT_8_TYPE,Shuttle2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcShuttle2],60,-60,0,Shuttle2 Temperature Single Limit,95,SECSGEM/uHGemHT9045_EC.cpp#L95
1605,FT_8_TYPE,Head1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHead1],60,-60,0,Head1 Temperature Single Limit,96,SECSGEM/uHGemHT9045_EC.cpp#L96
1606,FT_8_TYPE,Head2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHead2],60,-60,0,Head2 Temperature Single Limit,97,SECSGEM/uHGemHT9045_EC.cpp#L97
1607,FT_8_TYPE,Head5 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHead3],60,-60,0,Head5 Temperature Single Limit,98,SECSGEM/uHGemHT9045_EC.cpp#L98
1608,FT_8_TYPE,Head6 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHead4],60,-60,0,Head6 Temperature Single Limit,99,SECSGEM/uHGemHT9045_EC.cpp#L99
1609,FT_8_TYPE,DUT1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcDUT1],60,-60,0,DUT1 Temperature Single Limit,100,SECSGEM/uHGemHT9045_EC.cpp#L100
1610,FT_8_TYPE,DUT2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcDUT2],60,-60,0,DUT2 Temperature Single Limit,101,SECSGEM/uHGemHT9045_EC.cpp#L101
1611,FT_8_TYPE,Chamber Individual Temperature,,&IniConfig.dSingleTempLimit[tcChamber],60,-60,0,Chamber Individual Temperature,102,SECSGEM/uHGemHT9045_EC.cpp#L102
1612,FT_8_TYPE,CCD Individual Temperature,,&IniConfig.dSingleTempLimit[tcCCD],60,-60,0,CCD Individual Temperature,103,SECSGEM/uHGemHT9045_EC.cpp#L103
1613,FT_8_TYPE,Aa 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAa1],60,-60,0,Aa 1 Individual Temperature,104,SECSGEM/uHGemHT9045_EC.cpp#L104
1614,FT_8_TYPE,Ab 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAb1],60,-60,0,Ab 1 Individual Temperature,105,SECSGEM/uHGemHT9045_EC.cpp#L105
1615,FT_8_TYPE,Ac 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAc1],60,-60,0,Ac 1 Individual Temperature,106,SECSGEM/uHGemHT9045_EC.cpp#L106
1616,FT_8_TYPE,Ad 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAd1],60,-60,0,Ad 1 Individual Temperature,107,SECSGEM/uHGemHT9045_EC.cpp#L107
1617,FT_8_TYPE,Ba 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBa1],60,-60,0,Ba 1 Individual Temperature,108,SECSGEM/uHGemHT9045_EC.cpp#L108
1618,FT_8_TYPE,Bb 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBb1],60,-60,0,Bb 1 Individual Temperature,109,SECSGEM/uHGemHT9045_EC.cpp#L109
1619,FT_8_TYPE,Bc 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBc1],60,-60,0,Bc 1 Individual Temperature,110,SECSGEM/uHGemHT9045_EC.cpp#L110
1620,FT_8_TYPE,Bd 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBd1],60,-60,0,Bd 1 Individual Temperature,111,SECSGEM/uHGemHT9045_EC.cpp#L111
1621,FT_8_TYPE,Aa 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAa2],60,-60,0,Aa 2 Individual Temperature,112,SECSGEM/uHGemHT9045_EC.cpp#L112
1622,FT_8_TYPE,Ab 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAb2],60,-60,0,Ab 2 Individual Temperature,113,SECSGEM/uHGemHT9045_EC.cpp#L113
1623,FT_8_TYPE,Ac 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAc2],60,-60,0,Ac 2 Individual Temperature,114,SECSGEM/uHGemHT9045_EC.cpp#L114
1624,FT_8_TYPE,Ad 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAd2],60,-60,0,Ad 2 Individual Temperature,115,SECSGEM/uHGemHT9045_EC.cpp#L115
1625,FT_8_TYPE,Ba 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBa2],60,-60,0,Ba 2 Individual Temperature,116,SECSGEM/uHGemHT9045_EC.cpp#L116
1626,FT_8_TYPE,Bb 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBb2],60,-60,0,Bb 2 Individual Temperature,117,SECSGEM/uHGemHT9045_EC.cpp#L117
1627,FT_8_TYPE,Bc 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBc2],60,-60,0,Bc 2 Individual Temperature,118,SECSGEM/uHGemHT9045_EC.cpp#L118
1628,FT_8_TYPE,Bd 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBd2],60,-60,0,Bd 2 Individual Temperature,119,SECSGEM/uHGemHT9045_EC.cpp#L119
1629,FT_8_TYPE,Heat Gun 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHeatGun1],60,-60,0,Heat Gun 1 Individual Temperature,120,SECSGEM/uHGemHT9045_EC.cpp#L120
1630,FT_8_TYPE,Heat Gun 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcHeatGun2],60,-60,0,Heat Gun 2 Individual Temperature,121,SECSGEM/uHGemHT9045_EC.cpp#L121
1631,FT_8_TYPE,DUT 3 Individual Temperature,,&IniConfig.dSingleTempLimit[tcDUT3],60,-60,0,DUT 3 Individual Temperature,122,SECSGEM/uHGemHT9045_EC.cpp#L122
1632,FT_8_TYPE,DUT 4 Individual Temperature,,&IniConfig.dSingleTempLimit[tcDUT4],60,-60,0,DUT 4 Individual Temperature,123,SECSGEM/uHGemHT9045_EC.cpp#L123
1633,FT_8_TYPE,Socket Individual Temperature,,&IniConfig.dSingleTempLimit[tcSocket],60,-60,0,Socket Individual Temperature,124,SECSGEM/uHGemHT9045_EC.cpp#L124
1634,FT_8_TYPE,Ae 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAe1],60,-60,0,Ae 1 Individual Temperature,125,SECSGEM/uHGemHT9045_EC.cpp#L125
1635,FT_8_TYPE,Af 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAf1],60,-60,0,Af 1 Individual Temperature,126,SECSGEM/uHGemHT9045_EC.cpp#L126
1636,FT_8_TYPE,Ag 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAg1],60,-60,0,Ag 1 Individual Temperature,127,SECSGEM/uHGemHT9045_EC.cpp#L127
1637,FT_8_TYPE,Ah 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAh1],60,-60,0,Ah 1 Individual Temperature,128,SECSGEM/uHGemHT9045_EC.cpp#L128
1638,FT_8_TYPE,Be 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBe1],60,-60,0,Be 1 Individual Temperature,129,SECSGEM/uHGemHT9045_EC.cpp#L129
1639,FT_8_TYPE,Bf 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBf1],60,-60,0,Bf 1 Individual Temperature,130,SECSGEM/uHGemHT9045_EC.cpp#L130
1640,FT_8_TYPE,Bg 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBg1],60,-60,0,Bg 1 Individual Temperature,131,SECSGEM/uHGemHT9045_EC.cpp#L131
1641,FT_8_TYPE,Bh 1 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBh1],60,-60,0,Bh 1 Individual Temperature,132,SECSGEM/uHGemHT9045_EC.cpp#L132
1642,FT_8_TYPE,Ae 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAe2],60,-60,0,Ae 2 Individual Temperature,133,SECSGEM/uHGemHT9045_EC.cpp#L133
1643,FT_8_TYPE,Af 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAf2],60,-60,0,Af 2 Individual Temperature,134,SECSGEM/uHGemHT9045_EC.cpp#L134
1644,FT_8_TYPE,Ag 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAg2],60,-60,0,Ag 2 Individual Temperature,135,SECSGEM/uHGemHT9045_EC.cpp#L135
1645,FT_8_TYPE,Ah 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcAh2],60,-60,0,Ah 2 Individual Temperature,136,SECSGEM/uHGemHT9045_EC.cpp#L136
1646,FT_8_TYPE,Be 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBe2],60,-60,0,Be 2 Individual Temperature,137,SECSGEM/uHGemHT9045_EC.cpp#L137
1647,FT_8_TYPE,Bf 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBf2],60,-60,0,Bf 2 Individual Temperature,138,SECSGEM/uHGemHT9045_EC.cpp#L138
1648,FT_8_TYPE,Bg 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBg2],60,-60,0,Bg 2 Individual Temperature,139,SECSGEM/uHGemHT9045_EC.cpp#L139
1649,FT_8_TYPE,Bh 2 Individual Temperature,,&IniConfig.dSingleTempLimit[tcBh2],60,-60,0,Bh 2 Individual Temperature,140,SECSGEM/uHGemHT9045_EC.cpp#L140
1701,BOOLEAN_TYPE,Check 2DID allow list function,,&TestIF_File.b2DIDAllowList,,,,Check 2DID allow list function,141,SECSGEM/uHGemHT9045_EC.cpp#L141
2001,FT_8_TYPE,Arm Total Force KG,KG,&DeviceForm_File.dPress,,,,Arm Total Force KG,142,SECSGEM/uHGemHT9045_EC.cpp#L142
2010,INT_4_TYPE,Head Device Count,,&DeviceForm_File.iHeadDeviceCT,6,2,2,2:1 Device with 1 Compliance Unit; 3:2 Device with 1 Compliance Unit; 4:4 Device with 1 Compliance Unit; 5:2 Device with 4 Compliance Unit; 6:8 Device with 1 Compliance Unit;,143,SECSGEM/uHGemHT9045_EC.cpp#L143
2011,FT_8_TYPE,X-Dimension,mm,&DeviceForm_File.XDimension,,1,3,X Dimension of IC,144,SECSGEM/uHGemHT9045_EC.cpp#L144
2012,FT_8_TYPE,Y-Dimension,mm,&DeviceForm_File.YDimension,,1,3,Y Dimension of IC,145,SECSGEM/uHGemHT9045_EC.cpp#L145
2013,FT_8_TYPE,Kit Diameter,,&DeviceForm_File.dKitDiameter,3,0,0,0: 30mm; 1: 40mm; 2: 60mm;  3: 56mm;,146,SECSGEM/uHGemHT9045_EC.cpp#L146
2021,FT_8_TYPE,Die Force KG,Kg,&DeviceForm_File.DoubleForce,2,1.0,120.0,Die Force KG,148,SECSGEM/uHGemHT9045_EC.cpp#L148
2022,INT_4_TYPE,The no of pins on die,,&DeviceForm_File.iPinOfDie,,10,2000,The no of pins on die,149,SECSGEM/uHGemHT9045_EC.cpp#L149
2023,INT_4_TYPE,Die Force Kit Diameter,,&DeviceForm_File.dDieForceKitDiameter,,,,Die Force Kit Diameter,150,SECSGEM/uHGemHT9045_EC.cpp#L150
2266,BOOLEAN_TYPE,ContiFail(Socket) Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOffByContiFail,1,0,0,0: OFF; 1: ON,152,SECSGEM/uHGemHT9045_EC.cpp#L152
2267,BOOLEAN_TYPE,ContiFail(Head) Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOffArmContiFail,1,0,0,0: OFF; 1: ON,153,SECSGEM/uHGemHT9045_EC.cpp#L153
2268,BOOLEAN_TYPE,By Arm Per Site Differ Yields Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOffByArmSite,1,0,0,0: OFF; 1: ON,154,SECSGEM/uHGemHT9045_EC.cpp#L154
2269,BOOLEAN_TYPE,By Socket Compare Yield Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOff,1,0,0,0: OFF; 1: ON,155,SECSGEM/uHGemHT9045_EC.cpp#L155
2270,BOOLEAN_TYPE,By Picker Compare Yield Auto Site Off Func,,&TestIF_File.bLowYieldAutoSiteOffByPicker,1,0,0,0: OFF; 1: ON,156,SECSGEM/uHGemHT9045_EC.cpp#L156
2501,FT_8_TYPE,Input Arm Vacuum Wait,Second,&ArmSpeed_File[InArm].dVacuumTI,10,0.01,0.01,Input Arm Vacuum wait time,158,SECSGEM/uHGemHT9045_EC.cpp#L158
2502,FT_8_TYPE,Index Arm Vacuum Wait,Second,&ArmSpeed_File[IndexArm].dVacuumTI,10,0.01,0.01,Index Arm Vacuum wait time,159,SECSGEM/uHGemHT9045_EC.cpp#L159
2503,FT_8_TYPE,Output Arm Vacuum Wait,Second,&ArmSpeed_File[OutArm].dVacuumTI,10,0.01,0.01,Output Arm Vacuum wait time,160,SECSGEM/uHGemHT9045_EC.cpp#L160
2504,FT_8_TYPE,Tray Arm Vacuum Wait,Second,&ArmSpeed_File[TrayArm].dVacuumTI,10,0.01,0.01,Tray Arm Vacuum wait time,161,SECSGEM/uHGemHT9045_EC.cpp#L161
2511,FT_8_TYPE,Input Arm Destroy Wait,Second,&ArmSpeed_File[InArm].dCTAirOn,10,0.01,0.01,Input Arm Destroy wait time,162,SECSGEM/uHGemHT9045_EC.cpp#L162
2512,FT_8_TYPE,Index Arm Destroy Wait,Second,&ArmSpeed_File[IndexArm].dCTAirOn,10,0.01,0.01,Index Arm Destroy wait time,163,SECSGEM/uHGemHT9045_EC.cpp#L163
2513,FT_8_TYPE,Output Arm Destroy Wait,Second,&ArmSpeed_File[OutArm].dCTAirOn,10,0.01,0.01,Output Arm Destroy wait time,164,SECSGEM/uHGemHT9045_EC.cpp#L164
2514,FT_8_TYPE,Tray Arm Destroy Wait,Second,&ArmSpeed_File[TrayArm].dCTAirOn,10,0.01,0.01,Tray Arm Destroy wait time,165,SECSGEM/uHGemHT9045_EC.cpp#L165
2521,BOOLEAN_TYPE,Input Arm Vacuum Pre On,,&ArmSpeed_File[InArm].bSuckOnDown,,,,Input Arm Vacuum pre-on,166,SECSGEM/uHGemHT9045_EC.cpp#L166
2522,BOOLEAN_TYPE,Index Arm Vacuum Pre On,,&ArmSpeed_File[IndexArm].bSuckOnDown,,,,Index Arm Vacuum pre-on,167,SECSGEM/uHGemHT9045_EC.cpp#L167
2523,BOOLEAN_TYPE,Output Arm Vacuum Pre On,,&ArmSpeed_File[OutArm].bSuckOnDown,,,,Output Arm Vacuum pre-on,168,SECSGEM/uHGemHT9045_EC.cpp#L168
2609,ASCII_TYPE,Device ID,,fLotInfo->edtDevice,,,,Operator ID,169,SECSGEM/uHGemHT9045_EC.cpp#L169
2611,INT_4_TYPE,Second Speed,Percentage,&DeviceForm_File.DropSpeed,100,1,1,Second Speed,170,SECSGEM/uHGemHT9045_EC.cpp#L170
2613,FT_8_TYPE,Arm1 Drop Height,mm,&DeviceForm_File.IndexDrop[0],30,0,0,Arm1 Drop Height,171,SECSGEM/uHGemHT9045_EC.cpp#L171
2614,FT_8_TYPE,Arm2 Drop Height,mm,&DeviceForm_File.IndexDrop[1],30,0,0,Arm2 Drop Height,172,SECSGEM/uHGemHT9045_EC.cpp#L172
2615,FT_8_TYPE,Drop Wait Time,Second,&DeviceForm_File.DropWait,60,0,0,Drop Wait Time,173,SECSGEM/uHGemHT9045_EC.cpp#L173
2616,INT_4_TYPE,Contact Test Mode for HT9045,,&DeviceForm_File.ContactMode,6,0,0,0:Direct Contact Mode; 1:Drop Contact; 2:Direct & Soft Contact Mode; 3:TMOVE; 4:TMOVE Drop; 5:Direct Soft Contact; 6:Drop Soft Contact;,174,SECSGEM/uHGemHT9045_EC.cpp#L174
2617,INT_4_TYPE,Vacuum Mode,,&DeviceForm_File.VacuumMode,1,0,0,0:Vacuum ON Mode; 1:Vacuum OFF Mode;,175,SECSGEM/uHGemHT9045_EC.cpp#L175
2618,FT_8_TYPE,Up Wait Time,Second,&DeviceForm_File.UpWait,60,0,0,Up Wait Time,177,SECSGEM/uHGemHT9045_EC.cpp#L177
2619,INT_4_TYPE,Up Second Speed,Percentage,&DeviceForm_File.UpSpeed,100,1,1,Up Second Speed,178,SECSGEM/uHGemHT9045_EC.cpp#L178
2621,INT_4_TYPE,Pins per device,,&DeviceForm_File.iPinCT,10000,0,50,Pins per device,180,SECSGEM/uHGemHT9045_EC.cpp#L180
2622,FT_8_TYPE,Force per pin,G,&DeviceForm_File.ForcePerPinG,20.0,0.1,10.0,Force per pin (gf),181,SECSGEM/uHGemHT9045_EC.cpp#L181
2623,FT_8_TYPE,Arm1 Up Height,mm,&DeviceForm_File.IndexUp[0],30,0,0,Arm1 Up Height,182,SECSGEM/uHGemHT9045_EC.cpp#L182
2624,FT_8_TYPE,Arm2 Up Height,mm,&DeviceForm_File.IndexUp[1],30,0,0,Arm2 Up Height,183,SECSGEM/uHGemHT9045_EC.cpp#L183
2632,BOOLEAN_TYPE,Height Include Shuttle,,fContact->chkShuttle,1,0,1,Height Include Shuttle,185,SECSGEM/uHGemHT9045_EC.cpp#L185
2633,BOOLEAN_TYPE,Shuttle Wait Outside Chamber,,&DeviceForm_File.bShuttleWaitingOutSiteChamber,1,0,0,0: OFF; 1: ON,186,SECSGEM/uHGemHT9045_EC.cpp#L186
2634,BOOLEAN_TYPE,Pick Shuttle Device After Tested,,&DeviceForm_File.bSuckShuttleDeviceAfterTested,1,0,0,0: OFF; 1: ON,187,SECSGEM/uHGemHT9045_EC.cpp#L187
2635,BOOLEAN_TYPE,Pick Shuttle Device Together (32Site_N),,&DeviceForm_File.bPickShuttleDeviceTogether,1,0,0,0: OFF; 1: ON,188,SECSGEM/uHGemHT9045_EC.cpp#L188
2650,INT_4_TYPE,Auto 4 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto4],2,0,0,0:Empty; 1:Color; 2: Auto2 ,191,SECSGEM/uHGemHT9045_EC.cpp#L191
2651,INT_4_TYPE,Auto 5 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto5],2,0,0,0:Empty; 1:Color; 2: Auto2 ,192,SECSGEM/uHGemHT9045_EC.cpp#L192
2652,INT_4_TYPE,Auto 6 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto6],2,0,0,0:Empty; 1:Color; 2: Auto2 ,193,SECSGEM/uHGemHT9045_EC.cpp#L193
2653,INT_4_TYPE,Auto 4 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto4],2,0,0,0:Empty; 1:Color; 2: Auto2 ,194,SECSGEM/uHGemHT9045_EC.cpp#L194
2654,INT_4_TYPE,Auto 5 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto5],2,0,0,0:Empty; 1:Color; 2: Auto2 ,195,SECSGEM/uHGemHT9045_EC.cpp#L195
2655,INT_4_TYPE,Auto 6 Tray Type for RT,,&TrayForm.AutoFromEmptyColor[RT][eAuto6],2,0,0,0:Empty; 1:Color; 2: Auto2 ,196,SECSGEM/uHGemHT9045_EC.cpp#L196
2656,INT_4_TYPE,Auto 4 Tray Direction,,&TrayForm.Auto[eAuto4].Direction,3,0,0,Auto 4 Tray Direction,197,SECSGEM/uHGemHT9045_EC.cpp#L197
2657,INT_4_TYPE,Auto 5 Tray Direction,,&TrayForm.Auto[eAuto5].Direction,3,0,0,Auto 5 Tray Direction,198,SECSGEM/uHGemHT9045_EC.cpp#L198
2658,INT_4_TYPE,Auto 6 Tray Direction,,&TrayForm.Auto[eAuto6].Direction,3,0,0,Auto 6 Tray Direction,199,SECSGEM/uHGemHT9045_EC.cpp#L199
2659,INT_4_TYPE,Fix 4 Tray Direction,,&TrayForm.Auto[eFix4].Direction,3,0,0,Fix 4 Tray Direction,200,SECSGEM/uHGemHT9045_EC.cpp#L200
2660,INT_4_TYPE,Fix 5 Tray Direction,,&TrayForm.Auto[eFix5].Direction,3,0,0,Fix 5 Tray Direction,201,SECSGEM/uHGemHT9045_EC.cpp#L201
2661,INT_4_TYPE,Fix 6 Tray Direction,,&TrayForm.Auto[eFix6].Direction,3,0,0,Fix 6 Tray Direction,202,SECSGEM/uHGemHT9045_EC.cpp#L202
2662,INT_4_TYPE,Fix 4 Tray Type Index,,&TrayForm.Auto[eFix4].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 ,203,SECSGEM/uHGemHT9045_EC.cpp#L203
2663,INT_4_TYPE,Fix 5 Tray Type Index,,&TrayForm.Auto[eFix5].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 ,204,SECSGEM/uHGemHT9045_EC.cpp#L204
2664,INT_4_TYPE,Fix 6 Tray Type Index,,&TrayForm.Auto[eFix6].iTrayType,2,0,0,0:Type 1; 1:Type 2; 2:Type 3 ,205,SECSGEM/uHGemHT9045_EC.cpp#L205
2701,INT_4_TYPE,Tray Type,,&TrayForm.LodareType,1,0,0,0:Same; 1:Defferent,207,SECSGEM/uHGemHT9045_EC.cpp#L207
2702,INT_4_TYPE,Loader Tray Type,,&TrayForm.LoaderToEmptyColor[FT],2,0,0,0:Empty; 1:Color; 2:Auto2 ,208,SECSGEM/uHGemHT9045_EC.cpp#L208
2703,INT_4_TYPE,Auto1 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto1],2,0,0,0:Empty; 1:Color; 2:Auto2 ,209,SECSGEM/uHGemHT9045_EC.cpp#L209
2704,INT_4_TYPE,Auto2 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto2],2,0,0,0:Empty; 1:Color; 2:Auto2 ,210,SECSGEM/uHGemHT9045_EC.cpp#L210
2705,INT_4_TYPE,Auto3 Tray Type,,&TrayForm.AutoFromEmptyColor[FT][eAuto3],2,0,0,0:Empty; 1:Color; 2:Auto2 ,211,SECSGEM/uHGemHT9045_EC.cpp#L211
