"File","Line","Status","Old","New"
"aoutarm9045.cpp","190","OK","((double)(dX120[iX]-dX_40[iX]))/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)(((double)(dX120[iX]-dX_40[iX]))), (double)(iPitch_Max_minus_Min))"
"aoutarm9045.cpp","168","OK","(Prod.iOutArmX120Pitch2-Prod.iOutArmX40Pitch2)/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)((Prod.iOutArmX120Pitch2-Prod.iOutArmX40Pitch2)), (double)(iPitch_Max_minus_Min))"
"aoutarm9045.cpp","160","OK","(Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch)/iPitch_Max_minus_Min","ChangeToFloatNonPcnt((double)((Prod.iOutArmX120Pitch-Prod.iOutArmX40Pitch)), (double)(iPitch_Max_minus_Min))"
"atester.cpp","5934","OK","100/CCDTimeOutSec","ChangeToFloatNonPcnt((double)(100), (double)(CCDTimeOutSec))"
"aTester_Front.cpp","5319","OK","100/CCDTimeOutSec","ChangeToFloatNonPcnt((double)(100), (double)(CCDTimeOutSec))"
"aTester_Front.cpp","288","OK","MOT[MTestZ1].Gali_ReadEncoderPos()/MOT[MTestZ1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestZ1].Gali_ReadEncoderPos()), (double)(MOT[MTestZ1].Motor->GearRatio))"
"aTester_Front.cpp","287","OK","MOT[MTestY1].Gali_ReadEncoderPos()/MOT[MTestY1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestY1].Gali_ReadEncoderPos()), (double)(MOT[MTestY1].Motor->GearRatio))"
"aTester_Rear.cpp","5605","OK","100/CCDTimeOutSec","ChangeToFloatNonPcnt((double)(100), (double)(CCDTimeOutSec))"
"aTester_Rear.cpp","291","OK","MOT[MTestY2].Gali_ReadEncoderPos()/MOT[MTestY2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestY2].Gali_ReadEncoderPos()), (double)(MOT[MTestY2].Motor->GearRatio))"
"aTester_Rear.cpp","290","OK","MOT[MTestZ2].Gali_ReadEncoderPos()/MOT[MTestZ2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestZ2].Gali_ReadEncoderPos()), (double)(MOT[MTestZ2].Motor->GearRatio))"
"AutoTemperature.cpp","1342","OK","i/ACTData.iDisplayColumn","ChangeToFloatNonPcnt((double)(i), (double)(ACTData.iDisplayColumn))"
"cConfiguration.cpp","152","OK","iCount/iCbColCount","ChangeToFloatNonPcnt((double)(iCount), (double)(iCbColCount))"
"cContact.cpp","17279","OK","dHeadMaxForce/fComplianceUnit","ChangeToFloatNonPcnt((double)(dHeadMaxForce), (double)(fComplianceUnit))"
"cContact.cpp","330","OK","MOT[MTestZ2].Gali_ReadEncoderPos()/MOT[MTestZ2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestZ2].Gali_ReadEncoderPos()), (double)(MOT[MTestZ2].Motor->GearRatio))"
"cContact.cpp","329","OK","MOT[MTestY1].Gali_ReadEncoderPos()/MOT[MTestY1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestY1].Gali_ReadEncoderPos()), (double)(MOT[MTestY1].Motor->GearRatio))"
"cContact.cpp","295","OK","MOT[MTestY2].Gali_ReadEncoderPos()/MOT[MTestY2].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestY2].Gali_ReadEncoderPos()), (double)(MOT[MTestY2].Motor->GearRatio))"
"cContact.cpp","294","OK","MOT[MTestZ1].Gali_ReadEncoderPos()/MOT[MTestZ1].Motor->GearRatio","ChangeToFloatNonPcnt((double)(MOT[MTestZ1].Gali_ReadEncoderPos()), (double)(MOT[MTestZ1].Motor->GearRatio))"
