"File","FullPath","Line","OldExpr","NewExpr","Numerator","Denominator","OrigLine"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1537","AutoCalculateOutArmYClosePitch(iWhichAuto)/AutoForm[iWhichAuto]->YPitch","ChangeToFloatNonPcnt((double)(AutoCalculateOutArmYClosePitch(iWhichAuto)), (double)(AutoForm[iWhichAuto]->YPitch))","AutoCalculateOutArmYClosePitch(iWhichAuto)","AutoForm[iWhichAuto]->YPitch","iOutArmYStep=AutoCalculateOutArmYClosePitch(iWhichAuto)/AutoForm[iWhichAuto]->YPitch;   //Steven 20230523 : LoadForm->YPitch --> AutoForm[iWhichAuto]->YPitch"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1857","MOT[Motor].Tray.XItem/AutoForm[iWhichAuto]->BlockXItem","ChangeToFloatNonPcnt((double)(MOT[Motor].Tray.XItem), (double)(AutoForm[iWhichAuto]->BlockXItem))","MOT[Motor].Tray.XItem","AutoForm[iWhichAuto]->BlockXItem","BX=MOT[Motor].Tray.XItem/AutoForm[iWhichAuto]->BlockXItem;"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1858","MOT[Motor].Tray.YItem/AutoForm[iWhichAuto]->BlockYItem","ChangeToFloatNonPcnt((double)(MOT[Motor].Tray.YItem), (double)(AutoForm[iWhichAuto]->BlockYItem))","MOT[Motor].Tray.YItem","AutoForm[iWhichAuto]->BlockYItem","BY=MOT[Motor].Tray.YItem/AutoForm[iWhichAuto]->BlockYItem;"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1864","iOutArmBlockIndex/AutoForm[iWhichAuto]->BlockXItem","ChangeToFloatNonPcnt((double)(iOutArmBlockIndex), (double)(AutoForm[iWhichAuto]->BlockXItem))","iOutArmBlockIndex","AutoForm[iWhichAuto]->BlockXItem","iyEnd=BY+(iOutArmBlockIndex/AutoForm[iWhichAuto]->BlockXItem*BY);"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","1880","iOutArmBlockIndex/AutoForm[iWhichAuto]->BlockXItem","ChangeToFloatNonPcnt((double)(iOutArmBlockIndex), (double)(AutoForm[iWhichAuto]->BlockXItem))","iOutArmBlockIndex","AutoForm[iWhichAuto]->BlockXItem","iyEnd=BY+(iOutArmBlockIndex/AutoForm[iWhichAuto]->BlockXItem*BY);"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","2614","iCol/AutoForm[0]->XDivision","ChangeToFloatNonPcnt((double)(iCol), (double)(AutoForm[0]->XDivision))","iCol","AutoForm[0]->XDivision","nowX=nowX+((iCol/AutoForm[0]->XDivision)* AutoForm[0]->BlockPitchX);"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","2615","iCol/AutoForm[0]->XDivision","ChangeToFloatNonPcnt((double)(iCol), (double)(AutoForm[0]->XDivision))","iCol","AutoForm[0]->XDivision","nowX=nowX-((iCol/AutoForm[0]->XDivision)*(AutoForm[0]->XPitch*AutoForm[0]->XDivision));"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","2616","iRow/AutoForm[0]->YDivision","ChangeToFloatNonPcnt((double)(iRow), (double)(AutoForm[0]->YDivision))","iRow","AutoForm[0]->YDivision","nowY=nowY-((iRow/AutoForm[0]->YDivision)* AutoForm[0]->BlockPitchY);"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","2617","iRow/AutoForm[0]->YDivision","ChangeToFloatNonPcnt((double)(iRow), (double)(AutoForm[0]->YDivision))","iRow","AutoForm[0]->YDivision","nowY=nowY+((iRow/AutoForm[0]->YDivision)*(AutoForm[0]->YPitch*AutoForm[0]->YDivision));"
"aoutarm.cpp","D:\HT9045\HT9011UC_Code_V3.33.897.0_20260306\aoutarm.cpp","3822","AutoCalculateOutArmYClosePitch(iAuto)/LoadForm->YPitch","ChangeToFloatNonPcnt((double)(AutoCalculateOutArmYClosePitch(iAuto)), (double)(LoadForm->YPitch))","AutoCalculateOutArmYClosePitch(iAuto)","LoadForm->YPitch","pitchstepY=AutoCalculateOutArmYClosePitch(iAuto)/LoadForm->YPitch;"
